name,gattung,epitheton,familie,familie_quelle,gruppe,ebene,pruefungsrelevant,in_vorlesungsliste,in_skript,in_beschreibungs_pdf,in_tsp_fuehrer,deutsch,heimisch,vorlesungseinheit,skript_seiten,namensbeleg,datenlage,master_namen,vorlesung_name,synonym_skript,ocr_varianten,name_pruefen,verdacht_ocr_fehler
Philadelphus coronarius,Philadelphus,coronarius,Hydrangeaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Europäischer Pfeifenstrauch,ja,20,59,quelle_sauber,teilweise,,Philadelphus Coronarius,,,nein,nein
Philadelphus inodorus,Philadelphus,inodorus,Hydrangeaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Duftloser Pfeifenstrauch Pi,,,59,nur_ocr,duenn,,,,,ja,nein
Philadelphus lemoinei,Philadelphus,lemoinei,Hydrangeaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Philadelphus x Lemoinei,,21,,quelle_sauber,duenn,,Philadelphus Lemoinei Gruppe,,,nein,nein
Hypericum androsaemum,Hypericum,androsaemum,Hypericaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Mannsblut,ja,43,131,quelle_sauber,teilweise,,Hypericum Androsaemum,,,nein,nein
Hypericum calycinum,Hypericum,calycinum,Hypericaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Immergrünes Johanniskraut,ja,43,131,quelle_sauber,teilweise,,Hypericum Calycinum,,,nein,nein
Carya illinoinensis,Carya,illinoinensis,Juglandaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Pekannussbaums,,,52,nur_ocr,duenn,,,,,ja,nein
Carya ovata,Carya,ovata,Juglandaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Schuppenrinden Hickory,,18,52,quelle_sauber,teilweise,,Carya Ovata,,,nein,nein
Juglans cinerea,Juglans,cinerea,Juglandaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Amerikanische Butternuss,,,52,nur_ocr,duenn,,,,,ja,nein
Juglans nigra,Juglans,nigra,Juglandaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,Schwarznuss,,18,51,quelle_sauber,vollstaendig,Juglans nigra,Juglans Nigra,,,nein,nein
Juglans regia,Juglans,regia,Juglandaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,"Echte Walnuss, Gemeine Waln.",,18,52,quelle_sauber,vollstaendig,Juglans regia,Juglans Regia subsp.Regia,,,nein,nein
Pterocarya fraxinifolia,Pterocarya,fraxinifolia,Juglandaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Kaukasische Flügelnuss,,19,53,quelle_sauber,vollstaendig,Pterocarya fraxinifolia,Pterocarya Fraxinifolia,,,nein,nein
Pterocarya stenoptera,Pterocarya,stenoptera,Juglandaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Chinesische Flügelnuss,,19,53,quelle_sauber,teilweise,,Pterocarya Stenoptera,,,nein,nein
Lavandula angustifolia,Lavandula,angustifolia,Lamiaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Lavendel,,54,163,quelle_sauber,teilweise,,Lanvandula Angustifolia,,,nein,nein
Salvia officinalis,Salvia,officinalis,Lamiaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Garten Salbei,,54,163,quelle_sauber,teilweise,,Salvia Officinalis,,othcinals,nein,nein
Salvia rosmarinus,Salvia,rosmarinus,Lamiaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Rosmarin,,54,164,quelle_sauber,teilweise,,Salvia Rosmarinus,,,nein,nein
Thymus vulgaris,Thymus,vulgaris,Lamiaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Thymian,,54,164,quelle_sauber,teilweise,,Thymnus Vulgaris,,,nein,nein
Akebia,Akebia,,Lardizabalaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Akebie,,11,,quelle_sauber,duenn,,Akebia,,,nein,nein
Akebia tifousta,Akebia,tifousta,Lardizabalaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,29,nur_ocr,duenn,,,,,ja,nein
Akebia trifoliata,Akebia,trifoliata,Lardizabalaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Kleeblättrige Akebie © © <> |,,,29,nur_ocr,duenn,,,,,ja,nein
Decaisnea fargesii,Decaisnea,fargesii,Lardizabalaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,"Blauschotenstrauch, Blaugurke iB",,,29,nur_ocr,duenn,,,,farge,ja,nein
Cinnamomum camphora,Cinnamomum,camphora,Lauraceae,extern,Laubgehoelz,pruefung,ja,nein,nein,nein,nein,,,,,quelle_sauber,ohne_quelle,Cinnamomum camphora,,,,nein,nein
Laurus nobdrs,Laurus,nobdrs,Lauraceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,28,nur_ocr,duenn,,,,,ja,ja
Laurus nobilis,Laurus,nobilis,Lauraceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Lorbeer,,11,28,quelle_sauber,teilweise,,Laurus Nobilis,,,nein,nein
Loranthus europaeus,Loranthus,europaeus,Loranthaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Eichenmistel,ja,41,125,quelle_sauber,teilweise,,Loranthus Europaeus,,,nein,nein
Viscum album,Viscum,album,Loranthaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Mistel,ja,41,125,quelle_sauber,vollstaendig,Viscum album,Viscum Album,,,nein,nein
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Tulpenbaum,,9,23,quelle_sauber,vollstaendig,Liriodendron tulipifera,Liriodendron Tulipfera,,,nein,nein
Magnolia denudata,Magnolia,denudata,Magnoliaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Lilien Magnolie,,10,24,quelle_sauber,teilweise,,Magnolia Denudata,,,nein,nein
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Immergrüne Magnolie,,9,24,quelle_sauber,vollstaendig,Magnolia grandiflora,Magnolia Grandiflora,,,nein,nein
Magnolia kobus,Magnolia,kobus,Magnoliaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Japanische Baummagnolie,,10,24,quelle_sauber,vollstaendig,Magnolia kobus,Magnolia Kobus,,,nein,nein
Magnolia liliflora,Magnolia,liliflora,Magnoliaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Purpur Magnolie,,10,25,quelle_sauber,teilweise,,Magnolia Liliflora,,,nein,nein
Magnolia sieboldii,Magnolia,sieboldii,Magnoliaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Sommer-Magnolie N N,,,25,nur_ocr,duenn,,,,seboldd,ja,nein
Magnolia x soulangeana,Magnolia,soulangeana,Magnoliaceae,skript,Laubgehoelz,pruefung,ja,ja,nein,ja,ja,Tulpenmagnolie,,10,,quelle_sauber,teilweise,Magnolia x soulangeana,Magnolia X Soulangiana,,,nein,nein
Magnolia stellata,Magnolia,stellata,Magnoliaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Stem-Magnolie fy,,,25,nur_ocr,duenn,,,,,ja,nein
Magnolia tripetala,Magnolia,tripetala,Magnoliaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,"Schirmmagnolie, Umbrella-Tree f SS",,,24,nur_ocr,duenn,,,,,ja,nein
Hibiscus syriacus,Hibiscus,syriacus,Malvaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,"Hibiskus, Strauch Eibisch",,44,139,quelle_sauber,teilweise,,Hibiscus Syriacus,,,nein,nein
Toona sinsensis,Toona,sinsensis,Meliaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Chin.Götterbaum = Gemüsebaum,,37,114,quelle_sauber,teilweise,,Toona Sinsensis,,,nein,nein
Broussonetia papyrifera,Broussonetia,papyrifera,Moraceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,Papiermaulbeerbaum,,18,51,quelle_sauber,vollstaendig,Broussonetia papyrifera,Broussonetia Papyrifera,,,nein,nein
Ficus carica,Ficus,carica,Moraceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Echte Feige,,18,50,quelle_sauber,vollstaendig,Ficus carica,Ficus Carica,,,nein,nein
Maclura pomifera,Maclura,pomifera,Moraceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,"Osagedorn, Milchorange",,17,,quelle_sauber,duenn,,Maclura Pomifera,,,nein,nein
Morus alba,Morus,alba,Moraceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,Weisser Maulbeerbaum,,17,49,quelle_sauber,vollstaendig,Morus alba,Morus Alba,,,nein,nein
Morus nigra,Morus,nigra,Moraceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Schwarzer Maulbeerbaum,,17,49,quelle_sauber,vollstaendig,Morus nigra,Morus Nigra,,,nein,nein
Morus rubra,Morus,rubra,Moraceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Roter Maulbeerbaum,,,49,nur_ocr,duenn,,,,,ja,nein
Nyssa sylvatica,Nyssa,sylvatica,Nyssaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,Wald-Tupelobaum,,,115,quelle_sauber,duenn,Nyssa sylvatica,,,,nein,nein
Fontanesia fortunei,Fontanesia,fortunei,Oleaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Chinesische Fontanensie,,51,156,quelle_sauber,teilweise,,Fontanensia Fortunei,,,nein,nein
Fontanesia phillyreoides,Fontanesia,phillyreoides,Oleaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Kleinasiatische Fontanensie RE phillyr,,,156,nur_ocr,duenn,,,,,ja,nein
Forsythia x intermedia,Forsythia,intermedia,Oleaceae,skript,Laubgehoelz,pruefung,ja,ja,nein,nein,ja,ist häufigste Form,,52,,quelle_sauber,duenn,Forsythia x intermedia,Forsythia X Intermedia,,,nein,nein
Forsythia suspens,Forsythia,suspens,Oleaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Hängende Forsythie,,51,157,quelle_sauber,teilweise,,Forsythia Suspens,,,nein,nein
Forsythia viridissima,Forsythia,viridissima,Oleaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Grüne Forsythie,,52,157,quelle_sauber,teilweise,,Forsythia Viridissima,,,nein,nein
Fraxinus angustifolia,Fraxinus,angustifolia,Oleaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,,,,153,quelle_sauber,duenn,Fraxinus angustifolia,,,,nein,nein
Fraxinus excelsior,Fraxinus,excelsior,Oleaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Gemeine Esche,ja,50,153,quelle_sauber,vollstaendig,Fraxinus excelsior,Fraxinus Excelsior,,,nein,nein
Fraxinus ornus,Fraxinus,ornus,Oleaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Blumen Esche,ja,50,154,quelle_sauber,vollstaendig,Fraxinus ornus,Fraxinus Ornus,,,nein,nein
Fraxinus pennsylvanica,Fraxinus,pennsylvanica,Oleaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,154,nur_ocr,duenn,,,,,ja,nein
Fraxinus sieboldiana,Fraxinus,sieboldiana,Oleaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Siebolds Blumen-Esche (8 ),,,154,nur_ocr,duenn,,,,,ja,nein
Jasminum fruticans,Jasminum,fruticans,Oleaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Strauch Jasmin,,52,157,quelle_sauber,teilweise,,Jasminum Fruticans,,,nein,nein
Jasminum nudiflorum,Jasminum,nudiflorum,Oleaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Winter Jasmin,,52,157,quelle_sauber,teilweise,,Jasminum Nudiflorum,,,nein,nein
Ligustrum obtusifolium,Ligustrum,obtusifolium,Oleaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,156,nur_ocr,duenn,,,,,ja,nein
Ligustrum ovalifolium,Ligustrum,ovalifolium,Oleaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Wintergrüner Liguster,,51,156,quelle_sauber,vollstaendig,Ligustrum ovalifolium,Ligustrum Ovalifoium,,,nein,nein
Ligustrum vulgare,Ligustrum,vulgare,Oleaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Gemeiner Liguster,ja,51,155,quelle_sauber,vollstaendig,Ligustrum vulgare,Ligustrum Vulgare,,,nein,nein
Olea europaea,Olea,europaea,Oleaceae,extern,Laubgehoelz,pruefung,ja,nein,nein,nein,nein,,,,,quelle_sauber,ohne_quelle,Olea europaea,,,,nein,nein
Syringa chinensis,Syringa,chinensis,Oleaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Chinesischer Flieder,,51,,quelle_sauber,duenn,,Syringa X Chinensis,,,nein,nein
Syringa josikaea,Syringa,josikaea,Oleaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,Ungarischer Flieder Y,,,155,quelle_sauber,duenn,Syringa josikaea,,,,nein,nein
Syringa mcrophytla,Syringa,mcrophytla,Oleaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,155,nur_ocr,duenn,,,,,ja,nein
Syringa meyeri,Syringa,meyeri,Oleaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Meyers Flieder,,51,155,quelle_sauber,teilweise,,Syringa Meyeri,,,nein,nein
Syringa pubescens,Syringa,pubescens,Oleaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,155,nur_ocr,duenn,,,,,ja,ja
Syringa reflexa,Syringa,reflexa,Oleaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Bogenflieder,,51,155,quelle_sauber,teilweise,,Syringa Reflexa,,,nein,nein
Syringa vulgaris,Syringa,vulgaris,Oleaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Gemeiner Flieder,,50,154,quelle_sauber,vollstaendig,Syringa vulgaris,Syringa Vulgaris,,,nein,nein
Syringa wolfii,Syringa,wolfii,Oleaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Wolfs-Flieder,,,155,nur_ocr,duenn,,,,,ja,nein
Paeonia lutea,Paeonia,lutea,Paeoniaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Gelbe Strauch-Pfingstrose,,,129,nur_ocr,duenn,,,,,ja,nein
Paeonia suffruticosa,Paeonia,suffruticosa,Paeoniaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Strauchpfingsrose,,42,129,quelle_sauber,vollstaendig,Paeonia suffruticosa,Paeonia Suffruticosa,,,nein,nein
Abies alba,Abies,alba,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,nein,Weiß Tanne,ja,1,1,quelle_sauber,vollstaendig,Abies alba,Abies Alba,,,nein,nein
Abies cephalonica,Abies,cephalonica,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Griechische Tanne,,1,1,quelle_sauber,vollstaendig,Abies cephalonica,Abies Cephalonica,,,nein,nein
Abies concolor,Abies,concolor,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,nein,Colorado Tanne,,2,2,quelle_sauber,vollstaendig,Abies concolor,Abies Concolor,,,nein,nein
Abies grandis,Abies,grandis,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,"Große Küstentanne, Riesentanne Fr Fe -",,,2,nur_ocr,duenn,,,,,ja,nein
Abies koreana,Abies,koreana,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,Korea-Tanne AR,,,3,nur_ocr,duenn,,,,,ja,nein
Abies nordmanniana,Abies,nordmanniana,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Nordmanns Tanne,,1,1,quelle_sauber,vollstaendig,Abies nordmanniana,Abies Nordmanniana,,,nein,nein
Abies pinsapo,Abies,pinsapo,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,nein,Spanische Tanne,,1,2,quelle_sauber,vollstaendig,Abies pinsapo,Abies Pinsapo,,,nein,nein
Abies procera,Abies,procera,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,Edel-Tanne  .,,,2,nur_ocr,duenn,,,,,ja,nein
Abies veitchii,Abies,veitchii,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,Veitchs-Tanne N A,,,3,nur_ocr,duenn,,,,,ja,nein
Cedrus atlantica,Cedrus,atlantica,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Atlas Zeder,,3,7,quelle_sauber,vollstaendig,Cedrus atlantica,Cedrus Atlantica,,,nein,nein
Cedrus deodara,Cedrus,deodara,Pinaceae,skript,Nadelgehoelz,pruefung,ja,nein,ja,nein,nein,Himalaja-Zeder f Ax,,,7,quelle_sauber,duenn,Cedrus deodara,,,,nein,nein
Cedrus libani,Cedrus,libani,Pinaceae,skript,Nadelgehoelz,pruefung,ja,nein,ja,nein,nein,Libanon-Zeder K,,,7,quelle_sauber,duenn,Cedrus libani,,,,nein,nein
Larix decidua,Larix,decidua,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Europäische Lärche,ja,3,6,quelle_sauber,vollstaendig,Larix decidua,Larix Decidua,,,nein,nein
Larix kaempferi,Larix,kaempferi,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Japanische Lärche,,3,6,quelle_sauber,vollstaendig,Larix kaempferi,Larix Kaempferi,,,nein,nein
Larix laricina,Larix,laricina,Pinaceae,skript,Nadelgehoelz,pruefung,ja,nein,nein,nein,nein,,,,,quelle_sauber,ohne_quelle,Larix laricina,,,,nein,nein
Picea abies,Picea,abies,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,"Gemeine Fichte,Rotfichte",ja,2,3,quelle_sauber,vollstaendig,Picea abies,Picea Abies,,,nein,nein
Picea breweriana,Picea,breweriana,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,"Mahnen-Fichte ""ur",,,4,nur_ocr,duenn,,,,,ja,nein
Picea glauca,Picea,glauca,Pinaceae,skript,Nadelgehoelz,vorlesung,nein,ja,ja,nein,nein,Schimmel Fichte,,2,4,quelle_sauber,teilweise,,Picea Glauca,,,nein,nein
Picea omorika,Picea,omorika,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Serbische Fichte,,2,4,quelle_sauber,vollstaendig,Picea omorika,Picea Omorica,,,nein,nein
Picea orientalis,Picea,orientalis,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Orient Fichte,,2,4,quelle_sauber,vollstaendig,Picea orientalis,Picea Orientalis,,,nein,nein
Picea pungens,Picea,pungens,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Stech Fichte,,2,4,quelle_sauber,vollstaendig,Picea pungens,Picea Pungens,,,nein,nein
Picea sitchensis,Picea,sitchensis,Pinaceae,skript,Nadelgehoelz,pruefung,ja,nein,nein,nein,nein,,,,,quelle_sauber,ohne_quelle,Picea sitchensis,,,,nein,nein
Pinus aristata,Pinus,aristata,Pinaceae,skript,Nadelgehoelz,vorlesung,nein,ja,ja,nein,nein,Grannen Kiefer,,5,"10,12",quelle_sauber,teilweise,,Pinus Aristata,,,nein,nein
Pinus cembra,Pinus,cembra,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Zirbe,ja,4,"9,11",quelle_sauber,vollstaendig,Pinus cembra,Pinus Cembra,,,nein,nein
Pinus halepensis,Pinus,halepensis,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,Aleppo-Kiefer A aN,,,13,nur_ocr,duenn,,,,,ja,nein
Pinus heldreichii,Pinus,heldreichii,Pinaceae,skript,Nadelgehoelz,vorlesung,nein,ja,ja,nein,nein,Schlangenhautkiefer,,4,8,quelle_sauber,teilweise,,Pinus Heldreichii,,,nein,nein
Pinus mugo,Pinus,mugo,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Latsche,ja,4,"9,11",quelle_sauber,vollstaendig,Pinus mugo,Pinus Mugo,,,nein,nein
Pinus nigra,Pinus,nigra,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Schwarzkiefer,ja,4,8,quelle_sauber,vollstaendig,Pinus nigra,Pinus Nigra,,,nein,nein
Pinus parviflora,Pinus,parviflora,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,Mädchen-Kiefer u WALT,,,13,nur_ocr,duenn,,,,,ja,nein
Pinus peuce,Pinus,peuce,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,"Mazedonische, Rumelische Kiefer A i by",,,"9,11",nur_ocr,duenn,,,,,ja,ja
Pinus pinea,Pinus,pinea,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,"Pinie, Schirm-Pinie \\ h Eu.",,,13,nur_ocr,duenn,,,,,ja,nein
Pinus ponderosa,Pinus,ponderosa,Pinaceae,skript,Nadelgehoelz,vorlesung,nein,ja,ja,nein,nein,Gelb Kiefer,,5,"10,12",quelle_sauber,teilweise,,Pinus Ponderosa,,,nein,nein
Pinus pumila,Pinus,pumila,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,"Japanische Zwergkiefer, Kriech-Kiefer ",,,13,nur_ocr,duenn,,,,,ja,nein
Pinus strobus,Pinus,strobus,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Weymouth Kiefer,,4,"10,12",quelle_sauber,vollstaendig,Pinus strobus,Pinus Strobus,,,nein,nein
Pinus sylvestris,Pinus,sylvestris,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,"Gemeine Kiefer, Rotföhre",ja,3,8,quelle_sauber,vollstaendig,Pinus sylvestris,Pinus Sylvestris,,,nein,nein
Pinus unicata,Pinus,unicata,Pinaceae,skript,Nadelgehoelz,vorlesung,nein,ja,nein,nein,nein,Haken Kiefer,ja,4,"9,11",quelle_sauber,duenn,,Pinus Unicata,,uncinata,nein,nein
Pinus wallichiana,Pinus,wallichiana,Pinaceae,skript,Nadelgehoelz,vorlesung,nein,ja,ja,nein,nein,Tränenkiefer,,5,"10,12",quelle_sauber,teilweise,,Pinus Wallichiana,,,nein,nein
Pseudolarix amabilis,Pseudolarix,amabilis,Pinaceae,skript,Nadelgehoelz,pruefung,ja,nein,ja,nein,nein,Goldlärche,,,6,quelle_sauber,duenn,Pseudolarix amabilis,,,,nein,nein
Pseudotsuga menziesii,Pseudotsuga,menziesii,Pinaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Douglasie,,3,5,quelle_sauber,vollstaendig,Pseudotsuga menziesii,Pseudotsuga Menziesii,,,nein,nein
Tsuga canadensis,Tsuga,canadensis,Pinaceae,skript,Nadelgehoelz,vorlesung,nein,ja,ja,nein,nein,Kanadische Hemlocktanne,,3,5,quelle_sauber,teilweise,,Tsuga Canadensis,,,nein,nein
Tsuga cansden,Tsuga,cansden,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,,,,5,nur_ocr,duenn,,,,,ja,ja
Tsuga heterophylla,Tsuga,heterophylla,Pinaceae,skript,Nadelgehoelz,kontext,nein,nein,ja,nein,nein,Westliche Hemlocktanne Da,,,5,nur_ocr,duenn,,,,,ja,nein
Platanus x acerifolia,Platanus,acerifolia,Platanaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,,,,36,quelle_sauber,duenn,Platanus x acerifolia,,Platanus x hybrida (= hispanica),,nein,nein
Platanus hybrida-hispanica,Platanus,hybrida-hispanica,Platanaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Ahornblättrige Platane,,13,,quelle_sauber,duenn,,Platanus X Hybrida-HISPANICA- ACERIFOLIA,,,nein,nein
Platanus orientalis,Platanus,orientalis,Platanaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Morgenländische Platane,,13,36,quelle_sauber,vollstaendig,Platanus orientalis,Platanus Orientalis,,,nein,nein
Fallopia aubertii,Fallopia,aubertii,Polygonaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,144,nur_ocr,duenn,,,,,ja,nein
Fallopia baldschuanica,Fallopia,baldschuanica,Polygonaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Schlingknöterich,,46,144,quelle_sauber,teilweise,,Fallopia Baldschuanica,,,nein,nein
Clematis alpina,Clematis,alpina,Ranunculaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,30,nur_ocr,duenn,,,,,ja,nein
Clematis jackmanii,Clematis,jackmanii,Ranunculaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Clematis X Jackmanii,,11,,quelle_sauber,duenn,,Clematis X Jackmanii,,,nein,nein
Clematis montana,Clematis,montana,Ranunculaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Berg Waldrebe,,11,30,quelle_sauber,teilweise,,Clematis Montana,,,nein,nein
Clematis orientalis,Clematis,orientalis,Ranunculaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Orientalische Waldrebe ae,,,31,nur_ocr,duenn,,,,,ja,nein
Clematis tangutica,Clematis,tangutica,Ranunculaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,31,nur_ocr,duenn,,,,,ja,nein
Clematis vitalba,Clematis,vitalba,Ranunculaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Gemeine Waldrebe,ja,11,30,quelle_sauber,teilweise,,Clematis Vitalba,,,nein,nein
Clematis viticella,Clematis,viticella,Ranunculaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Italienische Waldrebe A ’,,,31,nur_ocr,duenn,,,,,ja,nein
Ceanothus xdelilianus,Ceanothus,xdelilianus,Rhamnaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,123,nur_ocr,duenn,,,,,ja,nein
Frangula alnus,Frangula,alnus,Rhamnaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Faulbaum,,40,123,quelle_sauber,teilweise,,Fragula Alnus,,,nein,nein
Rhamnus alpina,Rhamnus,alpina,Rhamnaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Alpen Kreuzdorn,ja,40,122,quelle_sauber,teilweise,,Rahmnus Alpina,,,nein,nein
Rhamnus cathartica,Rhamnus,cathartica,Rhamnaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,Purgier Kreuzdorn,ja,40,122,quelle_sauber,vollstaendig,Rhamnus cathartica,Rahmnus Cathartica,,,nein,nein
Rhamnus frangula,Rhamnus,frangula,Rhamnaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,123,nur_ocr,duenn,,,,,ja,nein
